"","gridg1","gridg3","month","no.sp","timegroups","OBSERVATION.COUNT","OBSERVER.ID","TEMP.REGION","timegroups1","DATETIME"
"50","9853","620","4",34,"2021",0,NA,NA,NA,NA
"51","9853","620","4",38,"2021",0,NA,NA,NA,NA
"52","9724","620","4",31,"2021",0,NA,NA,NA,NA
"53","9853","620","4",6,"2018",0,NA,NA,NA,NA
"54","9853","620","4",4,"2021",0,NA,NA,NA,NA
"55","9724","620","4",12,"2017",0,NA,NA,NA,NA
"56","9723","620","4",12,"2021",0,NA,NA,NA,NA
"57","9853","620","4",20,"2021",0,NA,NA,NA,NA
"58","9853","620","4",15,"2021",0,NA,NA,NA,NA
"59","9854","620","4",12,"2021",1,1201613,NA,"2020-2022",2023-06-01 07:30:00
"60","9723","620","4",25,"2021",0,NA,NA,NA,NA
"61","9853","620","4",23,"2021",0,NA,NA,NA,NA
"62","9853","620","4",14,"2021",0,NA,NA,NA,NA
"63","9853","620","4",6,"2021",0,NA,NA,NA,NA
"64","9723","620","4",9,"2018",0,NA,NA,NA,NA
"65","9724","620","4",11,"2021",0,NA,NA,NA,NA
"66","9724","620","4",17,"2014",1,777986,NA,"2007-2014",2023-06-01 07:15:00
"67","9854","620","4",7,"2020",1,1157336,NA,"2020-2022",2023-06-01 08:00:00
"68","9723","620","4",36,"2007-2010",0,NA,NA,NA,NA
"69","9854","620","4",13,"2018",0,NA,NA,NA,NA
"70","9853","620","4",3,"2016",0,NA,NA,NA,NA
"71","9853","620","4",16,"2022",0,NA,NA,NA,NA
"72","9724","620","4",44,"2022",0,NA,NA,NA,NA
"73","9853","620","4",21,"2022",0,NA,NA,NA,NA
"74","9853","620","4",14,"2022",0,NA,NA,NA,NA
"75","9853","620","4",4,"2022",0,NA,NA,NA,NA
"76","9853","620","4",1,"2022",0,NA,NA,NA,NA
"77","9724","620","4",30,"2022",0,NA,NA,NA,NA
"78","9724","620","4",14,"2022",0,NA,NA,NA,NA
"79","9853","620","4",20,"2022",0,NA,NA,NA,NA
"80","9853","620","4",15,"2022",0,NA,NA,NA,NA
"81","9853","620","4",4,"2022",0,NA,NA,NA,NA
"82","9853","620","4",11,"2022",0,NA,NA,NA,NA
"83","9854","620","4",18,"2022",0,NA,NA,NA,NA
"84","9854","620","4",16,"2022",0,NA,NA,NA,NA
"85","9723","620","4",14,"2022",0,NA,NA,NA,NA
"86","9723","620","4",32,"2022",1,2662113,NA,"2020-2022",2023-06-01 05:00:00
"87","9853","620","4",20,"2022",0,NA,NA,NA,NA
"88","9853","620","4",19,"2022",0,NA,NA,NA,NA
"89","9853","620","4",17,"2022",0,NA,NA,NA,NA
"90","9853","620","4",11,"2022",0,NA,NA,NA,NA
"91","9853","620","4",11,"2022",0,NA,NA,NA,NA
"92","9853","620","4",8,"2022",0,NA,NA,NA,NA
"93","9853","620","4",6,"2022",0,NA,NA,NA,NA
"94","9594","620","4",4,"2022",0,NA,NA,NA,NA
"95","9853","620","4",4,"2022",0,NA,NA,NA,NA
"96","9854","620","4",11,"2022",0,NA,NA,NA,NA
"97","9853","620","4",26,"2016",0,NA,NA,NA,NA
"98","9723","620","4",9,"2020",0,NA,NA,NA,NA
"99","9853","620","4",21,"2020",1,777986,NA,"2020-2022",2023-06-01 15:09:00
"100","13950","868","4",47,"2022",1,2704691,NA,"2020-2022",2023-06-01 05:32:00
"101","13950","868","4",40,"2022",1,1447120,NA,"2020-2022",2023-06-01 08:19:00
"102","13950","868","4",60,"2022",1,1224305,NA,"2020-2022",2023-06-01 07:47:00
"103","13949","868","4",31,"2022",0,NA,NA,NA,NA
"104","13949","868","4",40,"2022",0,NA,NA,NA,NA
"105","13818","868","4",23,"2017",0,NA,NA,NA,NA
"106","13819","868","4",29,"2018",0,NA,NA,NA,NA
"107","13819","868","4",77,"2018",0,NA,NA,NA,NA
"108","13689","868","4",28,"2018",0,NA,NA,NA,NA
"109","13819","868","4",14,"2018",0,NA,NA,NA,NA
"110","13950","868","4",21,"2018",0,NA,NA,NA,NA
"111","13818","868","4",10,"2017",0,NA,NA,NA,NA
"112","13688","868","4",21,"2017",0,NA,NA,NA,NA
"113","13688","868","4",15,"2017",0,NA,NA,NA,NA
"114","13950","868","4",50,"2018",0,NA,NA,NA,NA
"115","13950","868","4",23,"2020",0,NA,NA,NA,NA
"116","13819","868","4",5,"2020",0,NA,NA,NA,NA
"117","13818","868","4",25,"2020",0,NA,NA,NA,NA
"118","13819","868","4",6,"2017",0,NA,NA,NA,NA
"119","13818","868","4",52,"2021",0,NA,NA,NA,NA
"120","13819","868","4",25,"2021",1,2758068,NA,"2020-2022",2023-06-01 14:13:00
"121","13819","868","4",4,"2021",1,2913249,NA,"2020-2022",2023-06-01 15:37:00
"122","13950","868","4",29,"2021",0,NA,NA,NA,NA
"123","13689","868","4",47,"2021",0,NA,NA,NA,NA
"124","13819","868","4",26,"2021",0,NA,NA,NA,NA
"125","13819","868","4",42,"2022",1,1466178,NA,"2020-2022",2023-06-01 07:40:00
"126","13950","868","4",77,"2022",1,2704691,NA,"2020-2022",2023-06-01 06:42:00
"127","13950","868","4",13,"2022",0,NA,NA,NA,NA
"128","13948","868","4",6,"2021",0,NA,NA,NA,NA
"129","13817","868","4",9,"2021",0,NA,NA,NA,NA
"130","13819","868","4",13,"2021",0,NA,NA,NA,NA
"131","13818","868","4",8,"2021",0,NA,NA,NA,NA
"132","13818","868","4",17,"2021",0,NA,NA,NA,NA
"133","13819","868","4",19,"2021",1,2758068,NA,"2020-2022",2023-06-01 09:00:00
"134","13819","868","4",7,"2021",1,1447120,NA,"2020-2022",2023-06-01 06:01:00
"135","13948","868","4",10,"2021",0,NA,NA,NA,NA
"136","13819","868","4",22,"2021",0,NA,NA,NA,NA
"137","13819","868","4",9,"2021",0,NA,NA,NA,NA
"138","13819","868","4",11,"2021",0,NA,NA,NA,NA
"139","13950","868","4",34,"2021",1,682946,NA,"2020-2022",2023-06-01 11:45:00
"140","13818","868","4",20,"2021",0,NA,NA,NA,NA
"141","13819","868","4",3,"2021",0,NA,NA,NA,NA
"142","13689","868","4",45,"2021",0,NA,NA,NA,NA
"143","13949","868","4",28,"2021",0,NA,NA,NA,NA
"144","13818","868","4",21,"2021",0,NA,NA,NA,NA
"145","13950","868","4",15,"2021",0,NA,NA,NA,NA
"146","13950","868","4",13,"2021",0,NA,NA,NA,NA
"147","13819","868","4",7,"2021",0,NA,NA,NA,NA
"148","13950","868","4",15,"2021",0,NA,NA,NA,NA
"149","13950","868","4",6,"2021",0,NA,NA,NA,NA
"150","13950","868","4",11,"2021",0,NA,NA,NA,NA
"151","13819","868","4",38,"2021",1,2733554,NA,"2020-2022",2023-06-01 16:20:00
"152","13950","868","4",18,"2021",0,NA,NA,NA,NA
"153","13950","868","4",27,"2021",0,NA,NA,NA,NA
"154","13950","868","4",9,"2021",1,1042740,NA,"2020-2022",2023-06-01 07:29:00
"155","13819","868","4",46,"2021",0,NA,NA,NA,NA
"156","13950","868","4",45,"2021",0,NA,NA,NA,NA
"157","13819","868","4",10,"2021",0,NA,NA,NA,NA
"158","13557","868","4",1,"2021",0,NA,NA,NA,NA
"159","13950","868","4",12,"2021",0,NA,NA,NA,NA
"160","13818","868","4",17,"2021",0,NA,NA,NA,NA
"161","13950","868","4",5,"2021",0,NA,NA,NA,NA
"162","13688","868","4",32,"2021",0,NA,NA,NA,NA
"163","13950","868","4",14,"2021",0,NA,NA,NA,NA
"164","13948","868","4",29,"2021",0,NA,NA,NA,NA
"165","13819","868","4",8,"2021",0,NA,NA,NA,NA
"166","13948","868","4",12,"2021",0,NA,NA,NA,NA
"167","13818","868","4",7,"2021",0,NA,NA,NA,NA
"168","13819","868","4",17,"2021",0,NA,NA,NA,NA
"169","13819","868","4",8,"2021",0,NA,NA,NA,NA
"170","13948","868","4",25,"2021",0,NA,NA,NA,NA
"171","13818","868","4",16,"2021",0,NA,NA,NA,NA
"172","13819","868","4",7,"2021",0,NA,NA,NA,NA
"173","13819","868","4",12,"2021",1,104462,NA,"2020-2022",2023-06-01 07:37:00
"174","13819","868","4",20,"2021",0,NA,NA,NA,NA
"175","13818","868","4",12,"2021",0,NA,NA,NA,NA
"176","13819","868","4",10,"2021",0,NA,NA,NA,NA
"177","13818","868","4",25,"2021",0,NA,NA,NA,NA
"178","13819","868","4",3,"2021",0,NA,NA,NA,NA
"179","13818","868","4",16,"2021",0,NA,NA,NA,NA
"180","13950","868","4",29,"2021",1,1462228,NA,"2020-2022",2023-06-01 05:34:00
"181","13818","868","4",14,"2021",0,NA,NA,NA,NA
"182","13818","868","4",9,"2021",0,NA,NA,NA,NA
"183","13819","868","4",9,"2021",0,NA,NA,NA,NA
"184","13819","868","4",10,"2021",0,NA,NA,NA,NA
"185","13950","868","4",19,"2021",0,NA,NA,NA,NA
"186","13819","868","4",28,"2021",0,NA,NA,NA,NA
"187","13689","868","4",12,"2021",0,NA,NA,NA,NA
"188","13819","868","4",6,"2021",0,NA,NA,NA,NA
"189","13820","868","4",17,"2020",0,NA,NA,NA,NA
"190","13949","868","4",11,"2020",0,NA,NA,NA,NA
"191","13950","868","4",12,"2021",0,NA,NA,NA,NA
"192","13819","868","4",9,"2020",0,NA,NA,NA,NA
"193","13818","868","4",22,"2022",0,NA,NA,NA,NA
"194","13818","868","4",23,"2022",0,NA,NA,NA,NA
"195","13950","868","4",26,"2022",0,NA,NA,NA,NA
"196","13819","868","4",13,"2022",0,NA,NA,NA,NA
"197","13819","868","4",12,"2022",0,NA,NA,NA,NA
"198","13950","868","4",22,"2022",0,NA,NA,NA,NA
"199","13688","868","4",16,"2022",0,NA,NA,NA,NA
"200","13819","868","4",6,"2022",1,1447120,NA,"2020-2022",2023-06-01 06:16:00
"201","13819","868","4",10,"2022",0,NA,NA,NA,NA
"202","13950","868","4",44,"2022",0,NA,NA,NA,NA
"203","13819","868","4",8,"2022",1,1447120,NA,"2020-2022",2023-06-01 06:34:00
"204","13818","868","4",3,"2022",0,NA,NA,NA,NA
"205","13819","868","4",39,"2022",1,1224305,NA,"2020-2022",2023-06-01 08:08:00
"206","13948","868","4",12,"2022",0,NA,NA,NA,NA
"207","13818","868","4",16,"2022",0,NA,NA,NA,NA
"208","13950","868","4",21,"2022",1,1051758,NA,"2020-2022",2023-06-01 10:57:00
"209","13950","868","4",7,"2022",0,NA,NA,NA,NA
"210","13819","868","4",2,"2022",0,NA,NA,NA,NA
"211","13950","868","4",26,"2022",0,NA,NA,NA,NA
"212","13820","868","4",9,"2022",1,667690,NA,"2020-2022",2023-06-01 08:23:00
"213","13820","868","4",17,"2022",0,NA,NA,NA,NA
"214","13820","868","4",6,"2022",0,NA,NA,NA,NA
"215","13819","868","4",14,"2022",0,NA,NA,NA,NA
"216","13819","868","4",20,"2022",0,NA,NA,NA,NA
"217","13818","868","4",30,"2022",0,NA,NA,NA,NA
"218","13819","868","4",20,"2022",0,NA,NA,NA,NA
"219","13558","868","4",37,"2022",0,NA,NA,NA,NA
"220","13819","868","4",28,"2022",1,2733554,NA,"2020-2022",2023-06-01 07:01:00
"221","13819","868","4",4,"2022",0,NA,NA,NA,NA
"222","13950","868","4",32,"2022",1,693316,NA,"2020-2022",2023-06-01 04:01:00
"223","13819","868","4",9,"2022",0,NA,NA,NA,NA
"224","13818","868","4",22,"2022",0,NA,NA,NA,NA
"225","13949","868","4",6,"2022",0,NA,NA,NA,NA
"226","13950","868","4",9,"2022",0,NA,NA,NA,NA
"227","13817","868","4",18,"2022",0,NA,NA,NA,NA
"228","13950","868","4",52,"2022",1,1051758,NA,"2020-2022",2023-06-01 08:14:00
"229","13818","868","4",20,"2022",0,NA,NA,NA,NA
"230","13689","868","4",1,"2022",0,NA,NA,NA,NA
"231","13557","868","4",25,"2022",0,NA,NA,NA,NA
"232","13819","868","4",23,"2022",0,NA,NA,NA,NA
"233","13819","868","4",1,"2022",0,NA,NA,NA,NA
"234","13819","868","4",17,"2022",1,2913249,NA,"2020-2022",2023-06-01 17:25:00
"235","13820","868","4",10,"2022",0,NA,NA,NA,NA
"236","13948","868","4",13,"2022",0,NA,NA,NA,NA
"237","13818","868","4",12,"2022",0,NA,NA,NA,NA
"238","13948","868","4",26,"before 2000",1,113347,NA,"before 2006",2023-06-01 13:00:00
"239","13819","868","4",30,"2011-2012",0,NA,NA,NA,NA
"240","13949","868","4",35,"2022",0,NA,NA,NA,NA
"241","13818","868","4",25,"2022",0,NA,NA,NA,NA
"242","13819","868","4",14,"2014",0,NA,NA,NA,NA
"243","13819","868","4",23,"2015",0,NA,NA,NA,NA
"244","13950","868","4",30,"2015",0,NA,NA,NA,NA
"245","13689","868","4",46,"2015",0,NA,NA,NA,NA
"246","13819","868","4",11,"2015",0,NA,NA,NA,NA
"247","13819","868","4",28,"2015",1,559465,NA,"2015-2019",2023-06-01 08:23:00
"248","13950","868","4",59,"2015",1,236487,NA,"2015-2019",2023-06-01 05:50:00
"249","13818","868","4",25,"2015",0,NA,NA,NA,NA
"250","13819","868","4",32,"2015",0,NA,NA,NA,NA
"251","13819","868","4",39,"2015",1,236487,NA,"2015-2019",2023-06-01 15:03:00
"252","13819","868","4",7,"2015",0,NA,NA,NA,NA
"253","13818","868","4",8,"2015",0,NA,NA,NA,NA
"254","13818","868","4",17,"2015",0,NA,NA,NA,NA
"255","13819","868","4",48,"2015",1,615703,NA,"2015-2019",2023-06-01 09:15:00
"256","13819","868","4",62,"2015",0,NA,NA,NA,NA
"257","13818","868","4",3,"2015",0,NA,NA,NA,NA
"258","13819","868","4",10,"2015",0,NA,NA,NA,NA
"259","13950","868","4",33,"2015",1,541516,NA,"2015-2019",2023-06-01 08:20:00
"260","13950","868","4",10,"2015",0,NA,NA,NA,NA
"261","13819","868","4",26,"2015",0,NA,NA,NA,NA
"262","13819","868","4",25,"2015",0,NA,NA,NA,NA
"263","13819","868","4",37,"2015",0,NA,NA,NA,NA
"264","13950","868","4",15,"2016",0,NA,NA,NA,NA
"265","13950","868","4",38,"2016",1,740376,NA,"2015-2019",2023-06-01 06:50:00
"266","13818","868","4",28,"2016",0,NA,NA,NA,NA
"267","13819","868","4",56,"2016",0,NA,NA,NA,NA
"268","13949","868","4",38,"2016",0,NA,NA,NA,NA
"269","13950","868","4",14,"2016",0,NA,NA,NA,NA
"270","13950","868","4",66,"2016",1,485413,NA,"2015-2019",2023-06-01 07:49:00
"271","13819","868","4",6,"2016",0,NA,NA,NA,NA
"272","13950","868","4",42,"2016",0,NA,NA,NA,NA
"273","13819","868","4",9,"2016",0,NA,NA,NA,NA
"274","13819","868","4",27,"2016",0,NA,NA,NA,NA
"275","13818","868","4",20,"2017",0,NA,NA,NA,NA
"276","13818","868","4",4,"2017",0,NA,NA,NA,NA
"277","13818","868","4",23,"2017",0,NA,NA,NA,NA
"278","13950","868","4",9,"2017",0,NA,NA,NA,NA
"279","13819","868","4",17,"2017",0,NA,NA,NA,NA
"280","13818","868","4",23,"2017",0,NA,NA,NA,NA
"281","13818","868","4",21,"2017",0,NA,NA,NA,NA
"282","13950","868","4",18,"2017",0,NA,NA,NA,NA
"283","13950","868","4",38,"2017",1,858447,NA,"2015-2019",2023-06-01 17:02:00
"284","13950","868","4",23,"2017",1,689831,NA,"2015-2019",2023-06-01 05:30:00
"285","13950","868","4",74,"2017",1,858447,NA,"2015-2019",2023-06-01 05:23:00
"286","13950","868","4",28,"2017",0,NA,NA,NA,NA
"287","13950","868","4",39,"2017",0,NA,NA,NA,NA
"288","13949","868","4",5,"2017",0,NA,NA,NA,NA
"289","13950","868","4",51,"2017",1,740376,NA,"2015-2019",2023-06-01 07:14:00
"290","13819","868","4",23,"2017",0,NA,NA,NA,NA
"291","13689","868","4",17,"2017",0,NA,NA,NA,NA
"292","13689","868","4",24,"2017",0,NA,NA,NA,NA
"293","13689","868","4",29,"2017",0,NA,NA,NA,NA
"294","13689","868","4",24,"2017",0,NA,NA,NA,NA
"295","13819","868","4",17,"2017",0,NA,NA,NA,NA
"296","13819","868","4",32,"2017",0,NA,NA,NA,NA
"297","13819","868","4",24,"2017",0,NA,NA,NA,NA
"298","13819","868","4",19,"2017",0,NA,NA,NA,NA
"299","13819","868","4",18,"2017",0,NA,NA,NA,NA
"300","13819","868","4",17,"2017",0,NA,NA,NA,NA
"301","13819","868","4",19,"2017",0,NA,NA,NA,NA
"302","13818","868","4",25,"2017",0,NA,NA,NA,NA
"303","13819","868","4",18,"2017",0,NA,NA,NA,NA
"304","13819","868","4",26,"2017",0,NA,NA,NA,NA
"305","13688","868","4",26,"2017",0,NA,NA,NA,NA
"306","13819","868","4",21,"2017",0,NA,NA,NA,NA
"307","13950","868","4",46,"2007-2010",1,471752,NA,"2007-2014",2023-06-01 15:10:00
"308","13950","868","4",31,"before 2000",0,NA,NA,NA,NA
"309","13949","868","4",8,"2017",0,NA,NA,NA,NA
"310","13948","868","4",8,"2017",0,NA,NA,NA,NA
"311","13818","868","4",25,"2018",0,NA,NA,NA,NA
"312","13817","868","4",4,"2018",0,NA,NA,NA,NA
"313","13819","868","4",4,"2018",0,NA,NA,NA,NA
"314","13948","868","4",10,"2018",0,NA,NA,NA,NA
"315","13818","868","4",15,"2018",0,NA,NA,NA,NA
"316","13818","868","4",9,"2018",0,NA,NA,NA,NA
"317","13818","868","4",1,"2018",0,NA,NA,NA,NA
"318","13948","868","4",3,"2018",0,NA,NA,NA,NA
"319","13820","868","4",18,"2018",1,447642,NA,"2015-2019",2023-06-01 06:40:00
"320","13950","868","4",9,"2018",0,NA,NA,NA,NA
"321","13818","868","4",14,"2018",0,NA,NA,NA,NA
"322","13948","868","4",3,"2018",0,NA,NA,NA,NA
"323","13818","868","4",5,"2018",0,NA,NA,NA,NA
"324","13948","868","4",3,"2018",0,NA,NA,NA,NA
"325","13819","868","4",9,"2018",0,NA,NA,NA,NA
"326","13819","868","4",11,"2018",0,NA,NA,NA,NA
"327","13819","868","4",10,"2018",0,NA,NA,NA,NA
"328","13819","868","4",54,"2018",1,635588,NA,"2015-2019",2023-06-01 05:40:00
"329","13950","868","4",42,"2018",0,NA,NA,NA,NA
"330","13819","868","4",8,"2018",0,NA,NA,NA,NA
"331","13820","868","4",7,"2018",0,NA,NA,NA,NA
"332","13950","868","4",19,"2018",0,NA,NA,NA,NA
"333","13950","868","4",4,"2018",0,NA,NA,NA,NA
"334","13819","868","4",10,"2018",0,NA,NA,NA,NA
"335","13819","868","4",17,"2018",0,NA,NA,NA,NA
"336","13948","868","4",2,"2018",0,NA,NA,NA,NA
"337","13950","868","4",20,"2018",1,1187790,NA,"2015-2019",2023-06-01 06:46:00
"338","13948","868","4",9,"2018",0,NA,NA,NA,NA
"339","13949","868","4",26,"2018",1,689181,NA,"2015-2019",2023-06-01 15:30:00
"340","13950","868","4",61,"2018",1,953474,NA,"2015-2019",2023-06-01 06:12:00
"341","13950","868","4",9,"2018",0,NA,NA,NA,NA
"342","13950","868","4",7,"2018",0,NA,NA,NA,NA
"343","13950","868","4",30,"2018",1,1187790,NA,"2015-2019",2023-06-01 07:20:00
"344","13820","868","4",44,"2018",1,1317056,NA,"2015-2019",2023-06-01
"345","13818","868","4",8,"2019",0,NA,NA,NA,NA
"346","13818","868","4",13,"2019",0,NA,NA,NA,NA
"347","13819","868","4",7,"2019",0,NA,NA,NA,NA
"348","13819","868","4",15,"2019",0,NA,NA,NA,NA
"349","13688","868","4",16,"2019",0,NA,NA,NA,NA
"350","13557","868","4",9,"2019",0,NA,NA,NA,NA
"351","13688","868","4",14,"2019",0,NA,NA,NA,NA
"352","13818","868","4",16,"2019",0,NA,NA,NA,NA
"353","13818","868","4",16,"2019",0,NA,NA,NA,NA
"354","13819","868","4",15,"2019",0,NA,NA,NA,NA
"355","13819","868","4",29,"2019",0,NA,NA,NA,NA
"356","13819","868","4",34,"2019",1,584551,NA,"2015-2019",2023-06-01 09:15:00
"357","13818","868","4",11,"2019",0,NA,NA,NA,NA
"358","13688","868","4",17,"2019",0,NA,NA,NA,NA
"359","13818","868","4",8,"2019",0,NA,NA,NA,NA
"360","13557","868","4",10,"2019",0,NA,NA,NA,NA
"361","13818","868","4",11,"2019",0,NA,NA,NA,NA
"362","13819","868","4",15,"2019",0,NA,NA,NA,NA
"363","13950","868","4",6,"2019",0,NA,NA,NA,NA
"364","13950","868","4",15,"2019",0,NA,NA,NA,NA
"365","13818","868","4",9,"2019",0,NA,NA,NA,NA
"366","13819","868","4",10,"2019",0,NA,NA,NA,NA
"367","13688","868","4",16,"2019",0,NA,NA,NA,NA
"368","13819","868","4",20,"2019",0,NA,NA,NA,NA
"369","13557","868","4",43,"2019",0,NA,NA,NA,NA
"370","13688","868","4",16,"2019",0,NA,NA,NA,NA
"371","13819","868","4",31,"2019",0,NA,NA,NA,NA
"372","13948","868","4",28,"2019",0,NA,NA,NA,NA
"373","13819","868","4",13,"2019",0,NA,NA,NA,NA
"374","13819","868","4",40,"2019",0,NA,NA,NA,NA
"375","13950","868","4",12,"2019",0,NA,NA,NA,NA
"376","13819","868","4",9,"2019",0,NA,NA,NA,NA
"377","13948","868","4",37,"2019",0,NA,NA,NA,NA
"378","13948","868","4",40,"2019",0,NA,NA,NA,NA
"379","13818","868","4",16,"2019",0,NA,NA,NA,NA
"380","13950","868","4",31,"2019",1,837444,NA,"2015-2019",2023-06-01 07:33:00
"381","13557","868","4",10,"2019",0,NA,NA,NA,NA
"382","13818","868","4",12,"2019",0,NA,NA,NA,NA
"383","13818","868","4",11,"2019",0,NA,NA,NA,NA
"384","13819","868","4",16,"2019",0,NA,NA,NA,NA
"385","13818","868","4",14,"2019",0,NA,NA,NA,NA
"386","13818","868","4",5,"2019",0,NA,NA,NA,NA
"387","13819","868","4",31,"2019",0,NA,NA,NA,NA
"388","13818","868","4",10,"2019",0,NA,NA,NA,NA
"389","13947","868","4",32,"2019",0,NA,NA,NA,NA
"390","13818","868","4",15,"2019",0,NA,NA,NA,NA
"391","13819","868","4",7,"2019",0,NA,NA,NA,NA
"392","13818","868","4",12,"2019",0,NA,NA,NA,NA
"393","13819","868","4",14,"2019",0,NA,NA,NA,NA
"394","13559","868","4",3,"2019",0,NA,NA,NA,NA
"395","13819","868","4",25,"2019",0,NA,NA,NA,NA
"396","13819","868","4",1,"2019",0,NA,NA,NA,NA
"397","13819","868","4",14,"2019",0,NA,NA,NA,NA
"398","13819","868","4",5,"2019",0,NA,NA,NA,NA
"399","13819","868","4",22,"2019",0,NA,NA,NA,NA
"400","13819","868","4",16,"2020",0,NA,NA,NA,NA
"401","13819","868","4",8,"2020",0,NA,NA,NA,NA
"402","13948","868","4",21,"2020",0,NA,NA,NA,NA
"403","13949","868","4",16,"2020",0,NA,NA,NA,NA
"404","13819","868","4",13,"2020",0,NA,NA,NA,NA
"405","13948","868","4",6,"2020",0,NA,NA,NA,NA
"406","13948","868","4",9,"2020",0,NA,NA,NA,NA
"407","13818","868","4",1,"2020",0,NA,NA,NA,NA
"408","13818","868","4",17,"2020",0,NA,NA,NA,NA
"409","13818","868","4",3,"2020",0,NA,NA,NA,NA
"410","13948","868","4",21,"2020",0,NA,NA,NA,NA
"411","13818","868","4",13,"2020",0,NA,NA,NA,NA
"412","13818","868","4",1,"2020",0,NA,NA,NA,NA
"413","13819","868","4",11,"2020",0,NA,NA,NA,NA
"414","13819","868","4",21,"2020",0,NA,NA,NA,NA
"415","13949","868","4",19,"2020",0,NA,NA,NA,NA
"416","13818","868","4",8,"2020",0,NA,NA,NA,NA
"417","13818","868","4",18,"2020",0,NA,NA,NA,NA
"418","13949","868","4",12,"2020",0,NA,NA,NA,NA
"419","13950","868","4",4,"2020",0,NA,NA,NA,NA
"420","13950","868","4",18,"2020",1,689831,NA,"2020-2022",2023-06-01 15:49:00
"421","13949","868","4",6,"2020",0,NA,NA,NA,NA
"422","13949","868","4",3,"2020",0,NA,NA,NA,NA
"423","13950","868","4",17,"2020",0,NA,NA,NA,NA
"424","13819","868","4",34,"2020",0,NA,NA,NA,NA
"425","13819","868","4",5,"2020",0,NA,NA,NA,NA
"426","13819","868","4",16,"2020",1,1413797,NA,"2020-2022",2023-06-01 06:25:00
"427","13819","868","4",14,"2020",0,NA,NA,NA,NA
"428","13950","868","4",53,"2020",1,689831,NA,"2020-2022",2023-06-01 06:06:00
"429","13950","868","4",38,"2020",0,NA,NA,NA,NA
"430","13950","868","4",14,"2020",0,NA,NA,NA,NA
"431","13819","868","4",5,"2020",0,NA,NA,NA,NA
